source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,319,V21400001665,1/8/14,11/13/13,11/13/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 10,000.00",CREATIVENGINE CORPORATION
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,320,V21400002204,1/10/14,8/15/13,12/15/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 7,550.00",GSL SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,342,V21400002216,1/10/14,12/1/13,12/15/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 24,000.00",CREATIVENGINE CORPORATION
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,307,V21400002317,1/13/14,8/24/13,9/30/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 2,316.96",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,320,V21400001759,1/13/14,7/30/13,7/30/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 19,392.18",PROCENTRIX INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,320,V21400001828,1/13/14,11/13/13,11/13/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 23,500.00",CREATIVENGINE CORPORATION
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,321,V21400002524,1/17/14,11/15/13,12/16/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 18,500.00",CREATIVENGINE CORPORATION
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,325,V21400002523,1/17/14,8/24/13,9/30/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 152,553.93",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,333,V21400002546,1/17/14,12/3/13,12/27/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 14,040.00",VERSIVO INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,351,V21400002502,1/17/14,11/6/13,11/26/13,EXT DEV SOFTWARE (EXPENDABLE),0,"$ 20,720.06",EVERGREEN SYSTEMS INC
