source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 0913 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,913,,,274,V21400001664,1/8/14,9/26/13,9/26/13,SOFTWARE MAINTENANCE,0,$ 850.00,GSL SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,286,V21400001980,1/8/14,10/22/13,10/22/13,SOFTWARE MAINTENANCE,0,$ 25.00,GSL SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,348,V21400001632,1/8/14,12/1/13,11/30/14,SOFTWARE MAINTENANCE,0,"$ 12,604.00",EMERGENT LLC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,348,V21400001642,1/8/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 31,200.00",DLT SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400001658,1/8/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 2,537.12",DLT SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400001659,1/8/14,11/1/13,11/30/13,SOFTWARE MAINTENANCE,0,$ 717.44,HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,286,V21400001984,1/9/14,9/1/13,11/30/13,SOFTWARE MAINTENANCE,0,"$ 2,577.75",ICONSTITUENT LLC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,286,V21400002159,1/9/14,8/1/13,7/31/14,SOFTWARE MAINTENANCE,0,"$ 5,500.00",SYMPLICITY CORPORATION
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,314,V21400002013,1/9/14,9/30/13,9/30/15,SOFTWARE MAINTENANCE,0,"$ 4,996.00",ROSS VIDEO
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 0913 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,913,,,274,V21400002190,1/10/14,4/1/13,11/15/13,SOFTWARE MAINTENANCE,0,"$ 8,500.00",CREATIVENGINE CORPORATION
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,330,V21400002210,1/10/14,12/6/13,12/6/13,SOFTWARE MAINTENANCE,0,$ 748.69,C R ONSRUD INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002201,1/10/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 31,820.00",SAS INSTITUTE INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002206,1/10/14,12/1/13,12/30/13,SOFTWARE MAINTENANCE,0,"$ 24,539.00",CARAHSOFT TECHNOLOGY CORP
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002218,1/10/14,11/14/13,11/14/14,SOFTWARE MAINTENANCE,0,"$ 3,770.00",ZOHO CORPORATION
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002230,1/10/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 25,668.00",AXCELERATE NETWORKS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,295,V21400002318,1/13/14,7/27/13,9/30/13,SOFTWARE MAINTENANCE,0,"$ 3,765.52",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002265,1/13/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 26,933.12",SOFTWARE INFORMATION RESOURCE CORP
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400001734,1/15/14,10/6/13,10/5/14,SOFTWARE MAINTENANCE,0,"$ 14,734.44",SPECTRUM SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002266,1/15/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,"$ 239,551.00",PROOFPOINT INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,311,V21400002577,1/16/14,8/2/13,8/2/13,SOFTWARE MAINTENANCE,0,$ 27.50,TYCO INTEGRATED SECURITY LLC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,311,V21400002578,1/16/14,9/10/13,9/10/13,SOFTWARE MAINTENANCE,0,$ 55.00,TYCO INTEGRATED SECURITY LLC
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,330,V21400002495,1/16/14,1/1/14,12/31/14,SOFTWARE MAINTENANCE,0,"$ 4,500.00",PERMANENT SOLUTION INDUSTRIES INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1115 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1115,,,286,V21400002589,1/17/14,9/27/13,9/26/14,SOFTWARE MAINTENANCE,0,"$ 67,808.72",AVID SYSTEMS
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,295,V21400002573,1/17/14,12/1/13,12/31/13,SOFTWARE MAINTENANCE,0,"$ 38,211.00",COMPUTERWORKS INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400002561,1/17/14,10/1/13,12/31/13,SOFTWARE MAINTENANCE,0,$ 555.00,K2 AUDIO LLC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002549,1/17/14,10/1/13,12/31/13,SOFTWARE MAINTENANCE,0,"$ 35,000.00",BERMAN DATABASE SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002553,1/17/14,11/1/13,10/31/14,SOFTWARE MAINTENANCE,0,"$ 4,316.00",SYMON COMMUNICATIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002520,1/17/14,1/1/14,1/1/15,SOFTWARE MAINTENANCE,0,"$ 39,226.00",ZEND TECHNOLOGIES USA INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002548,1/17/14,10/1/13,12/31/13,SOFTWARE MAINTENANCE,0,"$ 1,962.44",DLT SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002557,1/17/14,12/1/13,12/31/13,SOFTWARE MAINTENANCE,0,$ 717.44,HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002662,1/17/14,2/1/14,1/31/15,SOFTWARE MAINTENANCE,0,"$ 19,967.86",INFOR US INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,314,V21400002541,1/23/14,12/1/13,12/31/13,SOFTWARE MAINTENANCE,0,"$ 64,916.00",ICONSTITUENT LLC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,315,V21400002644,1/23/14,12/1/13,12/31/13,SOFTWARE MAINTENANCE,0,"$ 166,178.00",DESKTOP SOLUTIONS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400002533,1/23/14,9/1/13,9/28/13,SOFTWARE MAINTENANCE,0,"$ 109,081.64",DELOITTE CONSULTING LLP
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002536,1/23/14,10/1/13,9/30/14,SOFTWARE MAINTENANCE,0,$ 562.70,OPEN TEXT INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002643,1/23/14,1/15/14,1/14/15,SOFTWARE MAINTENANCE,0,"$ 108,993.00",DLT SOLUTIONS INC
