source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,281,V21400001905,1/8/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 2,700.00",CFO SOLUTIONS LLC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400001907,1/8/14,10/23/13,10/31/13,TECHNICAL SUPPORT,0,"$ 24,650.00",EMC CORPORATION
113_sdoc22,0,,SGT @ ARMS - CENTRAL OPERATIONS Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,330,V21400002017,1/8/14,10/30/13,10/30/13,TECHNICAL SUPPORT,0,"$ 2,159.79",RESTON LIMOUSINE & TRAVEL SERVICE INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,281,V21400001978,1/9/14,6/1/13,6/30/13,TECHNICAL SUPPORT,0,"$ 2,700.00",CFO SOLUTIONS LLC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400001987,1/9/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,"$ 31,836.83",SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400001993,1/9/14,10/1/13,11/30/13,TECHNICAL SUPPORT,0,$ 136.02,SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,345,V21400002200,1/10/14,11/1/13,11/23/13,TECHNICAL SUPPORT,0,"$ 16,957.92",HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002202,1/10/14,11/1/13,11/26/13,TECHNICAL SUPPORT,0,"$ 98,710.61",HEWLETT PACKARD COMPANY
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,301,V21400002297,1/13/14,9/1/13,9/14/13,TECHNICAL SUPPORT,0,"$ 8,037.00",NCI INFORMATION SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1216 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1216,,,301,V21400002298,1/13/14,9/15/13,9/30/13,TECHNICAL SUPPORT,0,"$ 9,810.47",NCI INFORMATION SYSTEMS INC
